"Phase","Step","Action","Detail / Command","Touches Production?","Verification","Rollback","Owner","Stakeholder Approval"
"Overview","-","Deployment A: Designer app (blue brand)","Firebase Hosting app target -> designer.prhomzai.com; build VITE_THEME=brand","Yes (Phase 2)","Blue brand renders on designer.prhomzai.com","Firebase console one-click rollback","Niraj",""
"Overview","-","Deployment B: Landing page (2 changes)","Cloud Run service 'landing' (us-central1) -> prhomzai.com","Yes (Phase 3)","Changes render on prhomzai.com","Cloud Run revert traffic to prior revision","Niraj",""
"Phase 0 - Pre-flight & Backups","0.1","Confirm identity & clear impersonation","unset GOOGLE_IMPERSONATE_SERVICE_ACCOUNT ; gcloud config get-value account","No","account = niraj.sriwastava@gmail.com","n/a","Niraj",""
"Phase 0 - Pre-flight & Backups","0.2","Capture designer rollback point","Current live Firebase Hosting release retained for one-click rollback; brand work committed to git","No","Previous release visible in Firebase console","One-click rollback","Niraj",""
"Phase 0 - Pre-flight & Backups","0.3","Capture landing rollback point","gcloud run services describe landing --region us-central1 --project prhomzmvp-nonprod --format=""value(status.latestReadyRevisionName)""","No","Current serving revision name recorded","Revert traffic to this revision","Niraj",""
"Phase 0 - Pre-flight & Backups","0.4","Confirm landing Cloud Run service","Service 'landing', region us-central1, project prhomzmvp-nonprod serving prhomzai.com","No","prhomzai.com returns 200","n/a","Niraj",""
"Phase 1 - Landing changes (local, pre-prod)","1.1","How it works boxes -> open designer","Wrap each of 3 step boxes in <a href=https://designer.prhomzai.com/ target=_blank rel=noopener noreferrer>; add e.stopPropagation() to demo buttons so animations still play","No (local)","Box click opens designer in new tab; fake demo animations still work","Revert code (git)","Claude + Niraj",""
"Phase 1 - Landing changes (local, pre-prod)","1.2","Sync membership to designer","Freemium 10 -> 30 renders/month; add 'Unlimited daily' bullet to Basic; keep landing marketing wording (prices/retention/watermark already match)","No (local)","Landing membership shows Freemium 30","Revert code (git)","Claude + Niraj",""
"Phase 1 - Landing changes (local, pre-prod)","1.3","Build + local verify","npm run build (tsc clean); run locally; capture screenshots for review","No (local)","Build passes; visual check of both changes","n/a","Claude",""
"Phase 1 - Landing changes (local, pre-prod)","1.4","Commit landing repo","git commit (repo origin: nirajterraform/PRHOMZ-AI-LANDING)","No","Commit recorded","git revert","Niraj",""
"Phase 2 - Deploy Designer app (FIRST)","2.1","Commit + promote to main","Commit brand work; merge feature/top-nav-condensed-layout -> main","No","Clean working tree on main","git","Niraj",""
"Phase 2 - Deploy Designer app (FIRST)","2.2","Build brand variant","npx tsc --noEmit ; VITE_THEME=brand npm run build","No","Build success, no type errors","n/a","Claude",""
"Phase 2 - Deploy Designer app (FIRST)","2.3","Deploy designer to production","npx firebase-tools deploy --only hosting:app --project prhomzmvp-nonprod","YES - LIVE","Deploy complete message","Firebase console rollback to previous release","Niraj",""
"Phase 2 - Deploy Designer app (FIRST)","2.4","Verify designer.prhomzai.com","Open the live designer site","YES - LIVE","Blue brand theme, wordmark, Renders pill, quota-reached upgrade card, Shop-the-Look mobile opens new tab, daily-quota gate cleared","Firebase rollback","Niraj + Stakeholder",""
"Phase 3 - Deploy Landing (safe preview -> live)","3.1","Build landing image","gcloud builds submit --config cloudbuild.yaml --substitutions=_IMAGE_TAG=vN --project=prhomzmvp-nonprod . (bump vN; do not reuse v1)","No (image build only)","Image pushed to Artifact Registry","n/a","Claude",""
"Phase 3 - Deploy Landing (safe preview -> live)","3.2","Deploy no-traffic preview","gcloud run deploy landing --image us-central1-docker.pkg.dev/prhomzmvp-nonprod/api/landing:vN --region us-central1 --project prhomzmvp-nonprod --no-traffic --tag next","No (0% traffic)","Preview URL live; prhomzai.com still serving old","Discard revision","Claude",""
